subject-visit,06,07,08,09,10,11,12,13,14,15,16,17,18
1,no,True,no,no,True,no,no,True,no,no,True,no,no
2,True,no,True,True,no,True,True,no,True,True,no,True,no
3,True,True,no,no,no,no,no,no,True,True,no,True,no
4,True,True,True,True,True,True,no,True,no,no,True,no,no
5,no,no,True,no,no,no,no,no,no,no,no,no,no
6,True,True,no,True,no,no,no,True,no,no,no,True,no
7,True,True,True,True,no,True,no,True,True,True,True,True,no
8,True,True,True,True,no,True,True,True,True,True,no,no,no
9,no,no,no,True,no,True,no,no,no,no,True,True,no
10,no,True,no,True,no,no,no,no,True,no,True,True,no
11,True,True,no,no,no,no,no,no,no,True,no,True,no
12,True,True,True,no,no,True,True,no,no,no,no,no,no
13,no,True,no,no,True,no,True,no,no,no,no,no,no
14,no,True,True,no,no,True,no,True,True,True,no,no,no
15,no,no,no,no,True,True,True,True,no,True,no,no,no
16,True,no,no,no,no,True,no,True,True,True,no,no,no
17,True,True,True,no,no,no,True,no,no,True,no,no,no
18,no,True,no,True,True,no,True,no,True,True,no,no,no
19,True,True,no,True,no,True,no,True,no,no,no,no,no
20,True,True,no,no,True,no,True,no,no,True,no,no,no
21,True,True,no,True,True,no,no,True,no,no,no,no,no
22,True,no,True,no,no,no,True,no,no,no,no,no,no
23,True,True,True,no,no,True,no,True,no,no,no,no,no
24,no,no,no,no,no,no,no,no,no,no,no,no,no
25,True,True,True,no,no,True,no,True,no,no,no,no,no
26,True,True,no,no,no,no,True,True,no,no,no,no,no
27,no,True,True,True,no,no,True,no,no,no,no,no,no
28,no,no,no,no,no,True,no,no,no,no,no,no,no
29,no,True,no,no,True,no,no,no,no,no,no,no,no
30,True,True,True,no,no,no,True,no,no,no,no,no,no
31,True,True,no,no,no,True,no,no,no,no,no,no,no
32,True,True,no,no,no,True,no,True,no,no,no,no,no
33,True,True,True,no,True,True,True,True,no,no,no,no,no
34,no,True,True,no,no,no,no,no,no,no,no,no,no
35,no,no,True,no,no,True,no,no,no,no,no,no,no
36,True,True,True,True,no,no,no,no,no,no,no,no,no
37,no,True,no,True,True,True,no,no,no,no,no,no,no
38,True,True,True,no,True,True,no,no,no,no,no,no,no
39,True,True,True,no,no,True,no,no,no,no,no,no,no
40,True,True,True,True,True,True,no,no,no,no,no,no,no
41,True,no,no,no,True,no,no,no,no,no,no,no,no
42,True,no,no,no,no,no,no,no,no,no,no,no,no
43,True,no,True,True,no,True,no,no,no,no,no,no,no
44,True,no,no,no,no,no,no,no,no,no,no,no,no
45,no,True,True,no,no,no,no,no,no,no,no,no,no
46,no,True,True,no,no,no,no,no,no,no,no,no,no
