subject-visit,06,07,08,09,10,11,12,13,14,15,16,17,18
1,no-pi,**PI**,no-pi,no-pi,**PI**,no-pi,no-pi,**PI**,no-pi,no-pi,**PI**,no-pi,no-pi
2,**PI**,no-pi,**PI**,**PI**,no-pi,**PI**,**PI**,no-pi,**PI**,**PI**,no-pi,**PI**,no-pi
3,**PI**,**PI**,no-pi,no-pi,no-pi,no-pi,no-pi,no-pi,**PI**,**PI**,no-pi,**PI**,no-pi
4,**PI**,**PI**,**PI**,**PI**,**PI**,**PI**,**PI**,**PI**,no-pi,no-pi,**PI**,no-pi,no-pi
5,no-pi,no-pi,no-pi,no-pi,no-pi,no-pi,no-pi,no-pi,no-pi,no-pi,no-pi,no-pi,no-pi
6,**PI**,**PI**,no-pi,**PI**,no-pi,no-pi,no-pi,**PI**,no-pi,no-pi,no-pi,**PI**,no-pi
7,**PI**,**PI**,**PI**,**PI**,no-pi,**PI**,**PI**,**PI**,**PI**,**PI**,**PI**,**PI**,no-pi
8,**PI**,**PI**,**PI**,**PI**,no-pi,**PI**,**PI**,**PI**,**PI**,**PI**,no-pi,no-pi,no-pi
9,no-pi,no-pi,no-pi,**PI**,no-pi,**PI**,no-pi,no-pi,no-pi,no-pi,**PI**,**PI**,no-pi
10,no-pi,**PI**,no-pi,**PI**,no-pi,no-pi,no-pi,no-pi,**PI**,no-pi,**PI**,**PI**,no-pi
11,**PI**,**PI**,no-pi,no-pi,no-pi,no-pi,no-pi,no-pi,no-pi,**PI**,no-pi,**PI**,no-pi
12,**PI**,**PI**,**PI**,no-pi,no-pi,**PI**,**PI**,no-pi,no-pi,no-pi,no-pi,no-pi,no-pi
13,no-pi,**PI**,no-pi,no-pi,**PI**,no-pi,**PI**,no-pi,no-pi,no-pi,no-pi,no-pi,no-pi
14,no-pi,**PI**,**PI**,no-pi,no-pi,**PI**,no-pi,**PI**,**PI**,**PI**,no-pi,no-pi,no-pi
15,no-pi,no-pi,**PI**,no-pi,**PI**,**PI**,**PI**,**PI**,no-pi,**PI**,no-pi,no-pi,no-pi
16,**PI**,no-pi,no-pi,no-pi,no-pi,**PI**,no-pi,**PI**,**PI**,**PI**,no-pi,no-pi,no-pi
17,**PI**,**PI**,**PI**,no-pi,no-pi,no-pi,**PI**,no-pi,no-pi,**PI**,no-pi,no-pi,no-pi
18,no-pi,**PI**,no-pi,**PI**,**PI**,no-pi,**PI**,no-pi,**PI**,**PI**,no-pi,no-pi,no-pi
19,**PI**,**PI**,no-pi,**PI**,no-pi,**PI**,no-pi,**PI**,no-pi,no-pi,no-pi,no-pi,no-pi
20,**PI**,**PI**,no-pi,no-pi,**PI**,no-pi,**PI**,no-pi,no-pi,**PI**,no-pi,no-pi,no-pi
21,**PI**,**PI**,no-pi,**PI**,**PI**,no-pi,no-pi,**PI**,no-pi,no-pi,no-pi,no-pi,no-pi
22,**PI**,no-pi,**PI**,no-pi,no-pi,no-pi,**PI**,no-pi,no-pi,no-pi,no-pi,no-pi,no-pi
23,**PI**,**PI**,**PI**,no-pi,no-pi,**PI**,no-pi,**PI**,no-pi,no-pi,no-pi,no-pi,no-pi
24,no-pi,no-pi,no-pi,no-pi,no-pi,no-pi,no-pi,no-pi,no-pi,no-pi,no-pi,no-pi,no-pi
25,**PI**,**PI**,**PI**,no-pi,no-pi,**PI**,no-pi,**PI**,no-pi,no-pi,no-pi,no-pi,no-pi
26,**PI**,**PI**,no-pi,no-pi,no-pi,no-pi,**PI**,**PI**,no-pi,no-pi,no-pi,no-pi,no-pi
27,no-pi,**PI**,**PI**,**PI**,no-pi,no-pi,**PI**,no-pi,no-pi,no-pi,no-pi,no-pi,no-pi
28,no-pi,no-pi,no-pi,no-pi,no-pi,**PI**,no-pi,no-pi,no-pi,no-pi,no-pi,no-pi,no-pi
29,no-pi,**PI**,no-pi,no-pi,**PI**,no-pi,no-pi,no-pi,no-pi,no-pi,no-pi,no-pi,no-pi
30,**PI**,**PI**,**PI**,no-pi,no-pi,no-pi,**PI**,no-pi,no-pi,no-pi,no-pi,no-pi,no-pi
31,**PI**,**PI**,no-pi,no-pi,no-pi,**PI**,no-pi,no-pi,no-pi,no-pi,no-pi,no-pi,no-pi
32,**PI**,**PI**,no-pi,no-pi,no-pi,**PI**,no-pi,**PI**,no-pi,no-pi,no-pi,no-pi,no-pi
33,**PI**,**PI**,**PI**,no-pi,**PI**,**PI**,**PI**,**PI**,no-pi,no-pi,no-pi,no-pi,no-pi
34,no-pi,**PI**,**PI**,no-pi,no-pi,no-pi,no-pi,no-pi,no-pi,no-pi,no-pi,no-pi,no-pi
35,no-pi,no-pi,**PI**,no-pi,no-pi,**PI**,no-pi,no-pi,no-pi,no-pi,no-pi,no-pi,no-pi
36,**PI**,**PI**,**PI**,**PI**,no-pi,no-pi,no-pi,no-pi,no-pi,no-pi,no-pi,no-pi,no-pi
37,no-pi,**PI**,no-pi,**PI**,**PI**,**PI**,no-pi,no-pi,no-pi,no-pi,no-pi,no-pi,no-pi
38,**PI**,**PI**,**PI**,no-pi,**PI**,**PI**,no-pi,no-pi,no-pi,no-pi,no-pi,no-pi,no-pi
39,**PI**,**PI**,**PI**,no-pi,no-pi,**PI**,no-pi,no-pi,no-pi,no-pi,no-pi,no-pi,no-pi
40,**PI**,**PI**,**PI**,**PI**,**PI**,**PI**,no-pi,no-pi,no-pi,no-pi,no-pi,no-pi,no-pi
41,**PI**,no-pi,no-pi,no-pi,**PI**,no-pi,no-pi,no-pi,no-pi,no-pi,no-pi,no-pi,no-pi
42,**PI**,no-pi,no-pi,no-pi,no-pi,no-pi,no-pi,no-pi,no-pi,no-pi,no-pi,no-pi,no-pi
43,**PI**,no-pi,**PI**,**PI**,no-pi,**PI**,no-pi,no-pi,no-pi,no-pi,no-pi,no-pi,no-pi
44,**PI**,no-pi,no-pi,no-pi,no-pi,no-pi,no-pi,no-pi,no-pi,no-pi,no-pi,no-pi,no-pi
45,no-pi,**PI**,**PI**,no-pi,no-pi,no-pi,no-pi,no-pi,no-pi,no-pi,no-pi,no-pi,no-pi
46,no-pi,**PI**,**PI**,no-pi,no-pi,no-pi,no-pi,no-pi,no-pi,no-pi,no-pi,no-pi,no-pi
